year,injdur,pc
1998,29,0.00299737729486699
1998,30,0.00224803297115024
1998,31,0.00374672161858374
1998,32,0.00112401648557512
1998,33,0.00112401648557512
1998,34,0
1998,35,0
1998,36,0.000374672161858374
1998,37,0.000374672161858374
1998,38,0.000374672161858374
1998,39,0
1998,40,0.000374672161858374
1999,0,0.0700308959835222
1999,1,0.0933745279780295
1999,2,0.0974939924476485
1999,3,0.0799862684517679
1999,4,0.0659114315139032
1999,5,0.0569859251630621
1999,6,0.0480604188122211
1999,7,0.0518365945760384
1999,8,0.0439409543426021
1999,9,0.0405080672845863
1999,10,0.0374184689323721
1999,11,0.0343288705801579
1999,12,0.0339855818743563
1999,13,0.0288362512873327
1999,14,0.0274630964641263
1999,15,0.0281496738757295
1999,16,0.0223137658771026
1999,17,0.0278063851699279
1999,18,0.0168211465842774
1999,19,0.0161345691726742
1999,20,0.00995537246824579
1999,21,0.00926879505664264
1999,22,0.00720906282183316
1999,23,0.010641949879849
1999,24,0.00549261929282527
1999,25,0.00617919670442842
1999,26,0.00411946446961895
1999,27,0.00446275317542053
1999,28,0.00411946446961895
1999,29,0.00274630964641263
1999,30,0.00274630964641263
1999,31,0.00308959835221421
1999,32,0.00274630964641263
1999,33,0.00205973223480947
1999,34,0.0017164435290079
1999,35,0.000686577411603158
1999,36,0.000343288705801579
1999,37,0.000343288705801579
1999,38,0
1999,39,0
1999,40,0
2000,0,0.0785687938030247
2000,1,0.0944300995942457
2000,2,0.099594245665806
2000,3,0.0807819992622648
2000,4,0.0689782368129841
2000,5,0.0586499446698635
2000,6,0.0475839173736629
2000,7,0.0468461822205828
2000,8,0.0394688306897824
2000,9,0.0405754334194024
2000,10,0.0457395794909628
2000,11,0.0298782736997418
2000,12,0.0306160088528218
2000,13,0.0280339358170417
2000,14,0.0276650682405017
2000,15,0.0228697897454814
2000,16,0.0243452600516415
2000,17,0.0232386573220214
2000,18,0.017336776097381
2000,19,0.0143858354850609
2000,20,0.015861305791221
2000,21,0.0103282921431206
2000,22,0.00922168941350055
2000,23,0.0066396163777204
2000,24,0.00737735153080044
2000,25,0.00590188122464036
2000,26,0.00368867576540022
2000,27,0.00258207303578015
2000,28,0.00258207303578015
2000,29,0.00295094061232018
2000,30,0.0033198081888602
2000,31,0.00184433788270011
2000,32,0.00221320545924013
2000,33,0.00110660272962007
2000,34,0.00295094061232018
2000,35,0.000737735153080044
2000,36,0
2000,37,0.000368867576540022
2000,38,0
2000,39,0
2000,40,0.000368867576540022
2001,0,0.059051724137931
2001,1,0.0711206896551724
2001,2,0.0935344827586207
2001,3,0.0737068965517241
2001,4,0.0754310344827586
2001,5,0.071551724137931
2001,6,0.0689655172413793
2001,7,0.0452586206896552
2001,8,0.0482758620689655
2001,9,0.0392241379310345
2001,10,0.0478448275862069
2001,11,0.0275862068965517
2001,12,0.0258620689655172
2001,13,0.0271551724137931
2001,14,0.0181034482758621
2001,15,0.0280172413793103
2001,16,0.0202586206896552
2001,17,0.0293103448275862
2001,18,0.021551724137931
2001,19,0.0155172413793103
2001,20,0.0172413793103448
2001,21,0.0137931034482759
2001,22,0.0112068965517241
2001,23,0.00948275862068965
2001,24,0.00387931034482759
2001,25,0.00646551724137931
2001,26,0.00431034482758621
2001,27,0.00603448275862069
2001,28,0.00258620689655172
2001,29,0.00387931034482759
2001,30,0.00387931034482759
2001,31,0.00129310344827586
2001,32,0.0021551724137931
2001,33,0.00258620689655172
2001,34,0.000431034482758621
2001,35,0.00258620689655172
2001,36,0.000431034482758621
2001,37,0
2001,38,0.000431034482758621
2001,39,0
2001,40,0
2002,0,0.0451404882542607
2002,1,0.0608014739751267
2002,2,0.0704744357438968
2002,3,0.0677107323813911
2002,4,0.0709350529709811
2002,5,0.0631045601105481
2002,6,0.0575771533855366
2002,7,0.0561953017042837
2002,8,0.0571165361584523
2002,9,0.0460617227084293
2002,10,0.0396130815292492
2002,11,0.029940119760479
2002,12,0.0363887609396591
2002,13,0.0276370336250576
2002,14,0.0276370336250576
2002,15,0.0276370336250576
2002,16,0.0207277752187932
2002,17,0.0276370336250576
2002,18,0.0221096269000461
2002,19,0.0211883924458775
2002,20,0.0184246890833717
2002,21,0.0152003684937817
2002,22,0.0161216029479503
2002,23,0.0138185168125288
2002,24,0.00967296176877015
2002,25,0.00875172731460157
2002,26,0.00552740672501152
2002,27,0.00414555504375864
2002,28,0.00414555504375864
2002,29,0.00736987563334869
2002,30,0.00368493781667434
2002,31,0.00276370336250576
2002,32,0.00230308613542146
2002,33,0.00276370336250576
2002,34,0.00230308613542146
2002,35,0.000460617227084293
2002,36,0.00138185168125288
2002,37,0.000460617227084293
2002,38,0.00230308613542146
2002,39,0.000921234454168586
2002,40,0.000921234454168586
2003,0,0.0444444444444444
2003,1,0.0589371980676329
2003,2,0.0705314009661836
2003,3,0.0647342995169082
2003,4,0.0690821256038647
2003,5,0.0840579710144928
2003,6,0.0603864734299517
2003,7,0.0516908212560387
2003,8,0.0400966183574879
2003,9,0.0347826086956522
2003,10,0.0507246376811594
2003,11,0.0347826086956522
2003,12,0.0318840579710145
2003,13,0.0323671497584541
2003,14,0.0236714975845411
2003,15,0.0260869565217391
2003,16,0.0246376811594203
2003,17,0.0198067632850242
2003,18,0.0289855072463768
2003,19,0.0202898550724638
2003,20,0.0183574879227053
2003,21,0.014975845410628
2003,22,0.0135265700483092
2003,23,0.0106280193236715
2003,24,0.0120772946859903
2003,25,0.00966183574879227
2003,26,0.00531400966183575
2003,27,0.00676328502415459
2003,28,0.0033816425120773
2003,29,0.00193236714975845
2003,30,0.00531400966183575
2003,31,0.00241545893719807
2003,32,0.00579710144927536
2003,33,0.00434782608695652
2003,34,0.00531400966183575
2003,35,0.00193236714975845
2003,36,0.00144927536231884
2003,37,0.00193236714975845
2003,38,0.00193236714975845
2003,39,0.000483091787439614
2003,40,0.000483091787439614
2004,0,0.0355120946989192
2004,1,0.0555841482243953
2004,2,0.0653628409675759
2004,3,0.067421513124035
2004,4,0.0638188368502316
2004,5,0.0617601646937725
2004,6,0.0658775090066907
2004,7,0.0550694801852805
2004,8,0.0586721564590839
2004,9,0.0468347915594442
2004,10,0.0483787956767885
2004,11,0.0411734431291817
2004,12,0.031394750386001
2004,13,0.0267627380339681
2004,14,0.0277920741121976
2004,15,0.0231600617601647
2004,16,0.0221307256819352
2004,17,0.0241893978383942
2004,18,0.018013381369017
2004,19,0.0185280494081318
2004,20,0.0221307256819352
2004,21,0.0138960370560988
2004,22,0.013381369016984
2004,23,0.0185280494081318
2004,24,0.0108080288214102
2004,25,0.0108080288214102
2004,26,0.00669068450849202
2004,27,0.00823468862583634
2004,28,0.0036026762738034
2004,29,0.00617601646937725
2004,30,0.0036026762738034
2004,31,0.00205867215645908
2004,32,0.00617601646937725
2004,33,0.00205867215645908
2004,34,0.00566134843026248
2004,35,0.00154400411734431
2004,36,0.00154400411734431
2004,37,0.00205867215645908
2004,38,0.00102933607822954
2004,39,0.000514668039114771
2004,40,0.00205867215645908
2005,0,0.0380194518125553
2005,1,0.0517241379310345
2005,2,0.0636604774535809
2005,3,0.0592396109637489
2005,4,0.0632183908045977
2005,5,0.0707338638373121
2005,6,0.0596816976127321
2005,7,0.0530503978779841
2005,8,0.0477453580901857
2005,9,0.0490716180371353
2005,10,0.0468611847922193
2005,11,0.0380194518125553
2005,12,0.0349248452696729
2005,13,0.0415561450044209
2005,14,0.0256410256410256
2005,15,0.024314765694076
2005,16,0.0251989389920424
2005,17,0.0216622458001768
2005,18,0.0190097259062776
2005,19,0.0238726790450928
2005,20,0.0203359858532272
2005,21,0.017683465959328
2005,22,0.0159151193633952
2005,23,0.0159151193633952
2005,24,0.0137046861184792
2005,25,0.0128205128205128
2005,26,0.00618921308576481
2005,27,0.00618921308576481
2005,28,0.00442086648983201
2005,29,0.00397877984084881
2005,30,0.00574712643678161
2005,31,0.00486295313881521
2005,32,0.0013262599469496
2005,33,0.00309460654288241
2005,34,0.0013262599469496
2005,35,0.0013262599469496
2005,36,0.000442086648983201
2005,37,0.000442086648983201
2005,38,0.0026525198938992
2005,39,0.0013262599469496
2005,40,0.000884173297966401
2006,0,0.0404255319148936
2006,1,0.0485106382978723
2006,2,0.0608510638297872
2006,3,0.0506382978723404
2006,4,0.0587234042553192
2006,5,0.054468085106383
2006,6,0.0612765957446809
2006,7,0.0591489361702128
2006,8,0.048936170212766
2006,9,0.0561702127659575
2006,10,0.0527659574468085
2006,11,0.0476595744680851
2006,12,0.0374468085106383
2006,13,0.0306382978723404
2006,14,0.031063829787234
2006,15,0.028936170212766
2006,16,0.0280851063829787
2006,17,0.0251063829787234
2006,18,0.0153191489361702
2006,19,0.0187234042553192
2006,20,0.0251063829787234
2006,21,0.0165957446808511
2006,22,0.0182978723404255
2006,23,0.0148936170212766
2006,24,0.0174468085106383
2006,25,0.00808510638297872
2006,26,0.00723404255319149
2006,27,0.0051063829787234
2006,28,0.00340425531914894
2006,29,0.00382978723404255
2006,30,0.00382978723404255
2006,31,0.00340425531914894
2006,32,0.00340425531914894
2006,33,0.00340425531914894
2006,34,0.00212765957446809
2006,35,0.0025531914893617
2006,36,0.000851063829787234
2006,37,0.00127659574468085
2006,38,0.000425531914893617
2006,39,0.000851063829787234
2006,40,0.000425531914893617
2007,0,0.0563600782778865
2007,1,0.0422700587084149
2007,2,0.0626223091976517
2007,3,0.0473581213307241
2007,4,0.0504892367906067
2007,5,0.0559686888454012
2007,6,0.0579256360078278
2007,7,0.0634050880626223
2007,8,0.0626223091976517
2007,9,0.0481409001956947
2007,10,0.0536203522504892
2007,11,0.0473581213307241
2007,12,0.0403131115459883
2007,13,0.0461839530332681
2007,14,0.037573385518591
2007,15,0.0297455968688845
2007,16,0.0281800391389433
2007,17,0.0215264187866928
2007,18,0.0195694716242661
2007,19,0.0199608610567515
2007,20,0.0125244618395303
2007,21,0.010958904109589
2007,22,0.0105675146771037
2007,23,0.00978473581213307
2007,24,0.013307240704501
2007,25,0.00978473581213307
2007,26,0.00782778864970646
2007,27,0.00195694716242661
2007,28,0.00587084148727984
2007,29,0.00352250489236791
2007,30,0.00352250489236791
2007,31,0.00352250489236791
2007,32,0.00313111545988258
2007,33,0.00156555772994129
2007,34,0.00234833659491194
2007,35,0.00234833659491194
2007,36,0.00156555772994129
2007,37,0.000782778864970646
2007,38,0.000782778864970646
2007,39,0
2007,40,0.000782778864970646
2008,0,0.0605646630236794
2008,1,0.040528233151184
2008,2,0.0519125683060109
2008,3,0.0491803278688525
2008,4,0.0500910746812386
2008,5,0.0423497267759563
2008,6,0.0555555555555556
2008,7,0.0446265938069217
2008,8,0.0601092896174863
2008,9,0.0491803278688525
2008,10,0.0601092896174863
2008,11,0.0505464480874317
2008,12,0.0441712204007286
2008,13,0.046448087431694
2008,14,0.0273224043715847
2008,15,0.0273224043715847
2008,16,0.0268670309653916
2008,17,0.0255009107468124
2008,18,0.0264116575591985
2008,19,0.0182149362477231
