year,fit,lower,higher,tau,region
1999,23.6904761904761,23.4818680499466,23.8990843310056,0.25,South West
2000,23.7962962962962,23.5765685644721,24.0160240281204,0.25,South West
2001,23.9470899470899,23.7165376694442,24.1776422247356,0.25,South West
2002,24.1428571428571,23.9028750903615,24.3828391953526,0.25,South West
2003,24.3835978835978,24.1358390355974,24.6313567315982,0.25,South West
2004,24.6693121693121,24.415013365695,24.9236109729292,0.25,South West
2005,24.9999999999999,24.7393905073202,25.2606094926796,0.25,South West
2006,25.3756613756613,25.1074271199897,25.6438956313329,0.25,South West
2007,25.7962962962962,25.5171494357568,26.0754431568356,0.25,South West
2008,26.2619047619047,25.9663767505537,26.5574327732557,0.25,South West
2009,26.7724867724867,26.4530625525545,27.0919109924189,0.25,South West
2010,27.3280423280422,26.9756362667264,27.6804483893581,0.25,South West
2011,27.9285714285713,27.533179648726,28.3239632084167,0.25,South West
2012,28.574074074074,28.1253756871799,29.0227724609681,0.25,South West
2013,29.2645502645502,28.7523173283462,29.7767832007542,0.25,South West
2014,29.9999999999999,29.4143049015412,30.5856950984587,0.25,South West
2015,30.7804232804232,30.1117027927075,31.4491437681389,0.25,South West
2016,31.60582010582,30.8448620079254,32.3667782037147,0.25,South West
2017,32.4761904761904,31.6140883661262,33.3382925862546,0.25,South West
2018,33.3915343915343,32.419635364157,34.3634334189116,0.25,South West
2019,34.3518518518518,33.2617079724792,35.4419957312243,0.25,South West
1990,29.2153110047847,28.67380803025,29.7568139793194,0.5,South West
1991,28.8875598086124,28.4228965314518,29.352223085773,0.5,South West
1992,28.6100478468899,28.2136784652882,29.0064172284916,0.5,South West
1993,28.3827751196172,28.0453029479521,28.7202472912822,0.5,South West
1994,28.2057416267942,27.9166777583156,28.4948054952728,0.5,South West
1995,28.078947368421,27.8266232390737,28.3312714977683,0.5,South West
1996,28.0023923444976,27.7743543544072,28.230430334588,0.5,South West
1997,27.9760765550239,27.7602467235793,28.1919063864684,0.5,South West
1998,27.9999999999999,27.7862902428051,28.2137097571948,0.5,South West
1999,28.0741626794258,27.8556038126697,28.2927215461819,0.5,South West
2000,28.1985645933014,27.9713922115556,28.4257369750471,0.5,South West
2001,28.3732057416267,28.1362162478014,28.610195235452,0.5,South West
2002,28.5980861244018,28.3518135364949,28.8443587123088,0.5,South West
2003,28.8732057416267,28.6192064988158,29.1272049844376,0.5,South West
2004,29.1985645933014,28.9388572077079,29.4582719788948,0.5,South West
2005,29.5741626794258,29.3107760001348,29.8375493587167,0.5,South West
2006,29.9999999999999,29.7345707463022,30.2654292536976,0.5,South West
2007,30.4760765550238,30.2094506233461,30.7427024867016,0.5,South West
2008,31.0023923444975,30.7342105721886,31.2705741168064,0.5,South West
2009,31.578947368421,31.3072388118004,31.8506559250416,0.5,South West
2010,32.2057416267942,31.9266071746347,32.4848760789537,0.5,South West
2011,32.8827751196171,32.5902940159638,33.1752562232704,0.5,South West
2012,33.6100478468899,33.2965147130663,33.9235809807134,0.5,South West
2013,34.3875598086123,34.0440232629553,34.7310963542694,0.5,South West
2014,35.2153110047846,34.8322263943798,35.5983956151893,0.5,South West
2015,36.0933014354066,35.6610794622394,36.5255234085738,0.5,South West
2016,37.0215311004784,36.530873754522,37.5121884464348,0.5,South West
2017,37.9999999999999,37.4420401115632,38.5579598884366,0.5,South West
2018,39.0287081339712,38.3950232915183,39.6623929764241,0.5,South West
2019,40.1076555023922,39.3902218912298,40.8250891135546,0.5,South West
1990,35.8157894736842,34.9913148247737,36.6402641225946,0.75,South West
1991,35.3784461152882,34.6659656677973,36.0909265627791,0.75,South West
1992,35,34.3875913669082,35.6124086330918,0.75,South West
1993,34.6804511278195,34.1550569001956,35.2058453554434,0.75,South West
