year,fyear,pc
1997,1991,0.0452543051661994
1997,1992,0.0556668001601922
1997,1993,0.0640768922707249
1997,1994,0.0644773728474169
1997,1995,0.0869042851421706
1997,1996,0.0909090909090909
1997,1997,0.0616740088105727
1998,1970,0.00322003577817531
1998,1971,0.00644007155635063
1998,1972,0.00894454382826476
1998,1973,0.00858676207513417
1998,1974,0.00858676207513417
1998,1975,0.00536672629695886
1998,1976,0.00966010733452594
1998,1977,0.0153846153846154
1998,1978,0.0110912343470483
1998,1979,0.0103756708407871
1998,1980,0.0182468694096601
1998,1981,0.0257602862254025
1998,1982,0.027906976744186
1998,1983,0.0311270125223614
1998,1984,0.031484794275492
1998,1985,0.0318425760286225
1998,1986,0.0311270125223614
1998,1987,0.0311270125223614
1998,1988,0.0382826475849732
1998,1989,0.0361359570661896
1998,1990,0.0429338103756708
1998,1991,0.0450805008944544
1998,1992,0.0518783542039356
1998,1993,0.0633273703041145
1998,1994,0.0608228980322004
1998,1995,0.0772808586762075
1998,1996,0.0940966010733453
1998,1997,0.089087656529517
1998,1998,0.0711985688729875
1999,1970,0.00284270372710044
1999,1971,0.00536955148452306
1999,1972,0.0034744156664561
1999,1973,0.0047378395451674
1999,1974,0.00663297536323437
1999,1975,0.00568540745420089
1999,1976,0.00947567909033481
1999,1977,0.00694883133291219
1999,1978,0.00979153506001263
1999,1979,0.0110549589387239
1999,1980,0.0154769425142135
1999,1981,0.0176879343019583
1999,1982,0.0284270372710044
1999,1983,0.0230574857864814
1999,1984,0.0281111813013266
1999,1985,0.0296904611497157
1999,1986,0.0284270372710044
1999,1987,0.0363234365129501
1999,1988,0.0325331648768162
1999,1989,0.0375868603916614
1999,1990,0.0379027163613392
1999,1991,0.0486418193303854
1999,1992,0.0480101073910297
1999,1993,0.047378395451674
1999,1994,0.0587492103600758
1999,1995,0.065698041692988
1999,1996,0.0805432722678459
1999,1997,0.0972836386607707
