fyear,fit,lower,higher,tau,region
2007,29.5972222222222,28.2951029463157,30.8993414981287,0.75,East Midlands
2008,30.2083333333333,28.8596752430291,31.5569914236375,0.75,East Midlands
2009,30.8703703703704,29.4439586650583,32.2967820756824,0.75,East Midlands
2010,31.5833333333333,30.038692724535,33.1279739421317,0.75,East Midlands
2011,32.3472222222222,30.6377095167769,34.0567349276676,0.75,East Midlands
2012,33.1620370370371,31.2383303901204,35.0857436839537,0.75,East Midlands
2013,34.0277777777778,31.8406169700314,36.2149385855242,0.75,East Midlands
2014,34.9444444444445,32.4461843373113,37.4427045515776,0.75,East Midlands
2015,35.9120370370371,33.0572143422076,38.7668597318665,0.75,East Midlands
2016,36.9305555555556,33.6758744915836,40.1852366195275,0.75,East Midlands
2017,38,34.3040645501622,41.6959354498378,0.75,East Midlands
2018,39.1203703703704,34.9433514885993,43.2973892521414,0.75,East Midlands
2019,40.2916666666667,35.5949897616855,44.9883435716479,0.75,East Midlands
1990,20.400462962963,18.2179881797788,22.5829377461471,0.25,East of England
1991,20.0185185185185,18.1154427498219,21.9215942872151,0.25,East of England
1992,19.6875,18.0409827973877,21.3340172026124,0.25,East of England
1993,19.4074074074074,17.9934675148179,20.8213472999969,0.25,East of England
1994,19.1782407407407,17.9713145762494,20.3851669052321,0.25,East of England
1995,19,17.9723853390857,20.0276146609143,0.25,East of England
1996,18.8726851851852,17.9939845087538,19.7513858616166,0.25,East of England
1997,18.7962962962963,18.0332419436445,19.5593506489481,0.25,East of England
1998,18.7708333333333,18.0882631623313,19.4534035043353,0.25,East of England
1999,18.7962962962963,18.1600173965884,19.4325751960041,0.25,East of England
2000,18.8726851851852,18.2536773046378,19.4916930657326,0.25,East of England
2001,19,18.3777292105213,19.6222707894787,0.25,East of England
2002,19.1782407407407,18.5413363123366,19.8151451691449,0.25,East of England
2003,19.4074074074074,18.7521347089891,20.0626801058257,0.25,East of England
2004,19.6875,19.0154542806086,20.3595457193914,0.25,East of England
2005,20.0185185185185,19.3344551149997,20.7025819220373,0.25,East of England
2006,20.4004629629629,19.7104868877229,21.0904390382029,0.25,East of England
2007,20.8333333333333,20.1433349886522,21.5233316780144,0.25,East of England
2008,21.3171296296296,20.6312716274558,22.0029876318034,0.25,East of England
2009,21.8518518518518,21.1709477235625,22.5327559801412,0.25,East of England
2010,22.4375,21.7572609664301,23.1177390335698,0.25,East of England
2011,23.074074074074,22.3834860693317,23.7646620788164,0.25,East of England
2012,23.761574074074,23.0420578666837,24.4810902814643,0.25,East of England
2013,24.4999999999999,23.7261134398336,25.2738865601663,0.25,East of England
2014,25.2893518518518,24.4311042454128,26.1475994582908,0.25,East of England
2015,26.1296296296296,25.1553901323674,27.1038691268918,0.25,East of England
2016,27.0208333333333,25.8995744607201,28.1420922059464,0.25,East of England
2017,27.9629629629629,26.6653604086104,29.2605655173154,0.25,East of England
2018,28.9560185185184,27.4546761293067,30.4573609077302,0.25,East of England
2019,29.9999999999999,28.2692453912911,31.7307546087088,0.25,East of England
1990,22.7386973180077,20.7963580906286,24.6810365453867,0.5,East of England
1991,22.5206896551724,20.8251704983061,24.2162088120388,0.5,East of England
1992,22.3459770114943,20.8682965516118,23.8236574713767,0.5,East of England
1993,22.2145593869732,20.9233392399181,23.5057795340283,0.5,East of England
1994,22.1264367816092,20.9877149044514,23.265158658767,0.5,East of England
1995,22.0816091954023,21.0593108441988,23.1039075466058,0.5,East of England
1996,22.0800766283525,21.1376453870894,23.0225078696156,0.5,East of England
1997,22.1218390804598,21.2251165092593,23.0185616516602,0.5,East of England
1998,22.2068965517241,21.3273844752175,23.0864086282308,0.5,East of England
1999,22.3352490421456,21.4523118241967,23.2181862600945,0.5,East of England
2000,22.5068965517241,21.6081195380439,23.4056735654043,0.5,East of England
2001,22.7218390804598,21.8019184227815,23.641759738138,0.5,East of England
2002,22.9800766283525,22.0390909252701,23.9210623314349,0.5,East of England
2003,23.2816091954023,22.3232865229587,24.2399318678459,0.5,East of England
2004,23.6264367816092,22.6566489274816,24.5962246357367,0.5,East of England
2005,24.0145593869732,23.0400390243684,24.9890797495779,0.5,East of England
2006,24.4459770114942,23.4731605539269,25.4187934690615,0.5,East of England
2007,24.9206896551724,23.9545700351476,25.8868092751972,0.5,East of England
2008,25.4386973180076,24.4815890139935,26.3958056220217,0.5,East of England
2009,26,25.050174898421,26.9498251015789,0.5,East of England
2010,26.6045977011494,25.6548727934256,27.5543226088732,0.5,East of England
2011,27.2524904214559,26.2890543410035,28.2159265019083,0.5,East of England
2012,27.9436781609195,26.9456529958537,28.9417033259853,0.5,East of England
2013,28.6781609195402,27.6183628111608,29.7379590279195,0.5,East of England
2014,29.455938697318,28.3028171145762,30.6090602800597,0.5,East of England
2015,30.2770114942528,28.9970892647837,31.556933723722,0.5,East of England
2016,31.1413793103448,29.7013206457627,32.5814379749268,0.5,East of England
2017,32.0490421455938,30.4168890965124,33.6811951946752,0.5,East of England
2018,32.9999999999999,31.1456368893215,34.8543631106784,0.5,East of England
2019,33.9942528735631,31.8893891329654,36.0991166141609,0.5,East of England
1990,25,24.1587325489234,25.8412674510765,0.75,East of England
1991,25.1798512508451,24.4195187731243,25.940183728566,0.75,East of England
1992,25.3813387423935,24.6679627149986,26.0947147697883,0.75,East of England
1993,25.604462474645,24.9071651820842,26.3017597672058,0.75,East of England
1994,25.8492224475997,25.1437613269928,26.5546835682066,0.75,East of England
1995,26.1156186612576,25.3859619428037,26.8452753797115,0.75,East of England
1996,26.4036511156186,25.6413817776934,27.1659204535439,0.75,East of England
1997,26.7133198106829,25.9159333534785,27.5107062678873,0.75,East of England
1998,27.0446247464503,26.2137118786492,27.8755376142513,0.75,East of England
1999,27.3975659229209,26.5373011135567,28.2578307322851,0.75,East of England
2000,27.7721433400946,26.8881220718052,28.6561646083841,0.75,East of England
2001,28.1683569979716,27.2666900620768,29.0700239338663,0.75,East of England
2002,28.5862068965517,27.6727629170986,29.4996508760048,0.75,East of England
2003,29.025693035835,28.1053988460551,29.9459872256149,0.75,East of England
2004,29.4868154158215,28.5629495684869,30.4106812631561,0.75,East of England
