fyear,md,lower,upper,region
1987,26.5,22.75,28,South East
1989,21.5,19.75,23.5,South East
1988,22,21,30,South East
1991,21,19,25,South East
1990,20,18,23.75,South East
1992,21,18,25,South East
1993,20,18,25.5,South East
1994,21,18,24,South East
1995,21,18,25,South East
1996,21,18,26,South East
1997,22,18,25,South East
1998,23,20,27,South East
1999,25,21,29,South East
2000,25.5,22.75,28.25,South East
2001,26,21.5,28.5,South East
2002,23.5,20.25,27,South East
2003,27,22.5,30.5,South East
2004,25,19.5,30.5,South East
2005,26,20,32,South East
2006,26,22,30.5,South East
2007,24,19,30,South East
2008,25,22,31,South East
2009,26,20,32.75,South East
2010,26,21,32,South East
2011,24.5,21,31.75,South East
2012,29,25,36,South East
2013,29,23,35,South East
2014,30.5,24,38.25,South East
2015,30.5,26.25,35.25,South East
2016,33,29,40,South East
2017,33,28.5,40,South East
2018,30,28,36,South East
2019,35.5,28.25,43,South East
1989,19.5,18,25,South West
1990,20,18,25,South West
1988,22,19,26,South West
1987,21,19,21,South West
1991,21,18,26,South West
1992,22,18,25,South West
1993,22,18,25,South West
1994,21,18,27,South West
1995,21,18,25,South West
1996,21,18,25,South West
1997,22,18,24,South West
1998,22,18.25,27,South West
1999,24,20,28,South West
2000,23.5,19,28,South West
2001,24,20,28.5,South West
2002,26.5,20,31,South West
2003,23,19,30,South West
2004,22,19,27,South West
2005,24,19.5,28,South West
2006,22,19,27,South West
2007,24,20,28,South West
2008,25.5,19,27,South West
2009,22.5,19.25,29,South West
2010,26,22.5,30.5,South West
2011,26.5,22,31,South West
2012,26,21,31,South West
2013,30,27,33.75,South West
2014,29,22,38,South West
2015,28,23,33,South West
2016,30,20.5,37,South West
2017,30,24.5,34,South West
2018,33,28,42,South West
2019,28.5,24.25,35,South West
1987,19,19,19,Wales
1990,20,18,26,Wales
1989,19,18,21,Wales
1991,22,18.5,25,Wales
1988,16,16,16,Wales
1992,22,21,25.5,Wales
1993,22,20,25,Wales
1994,22,19.5,24,Wales
1995,20,17,25,Wales
1996,21,17,26,Wales
1997,22,19,27,Wales
1998,20,18,26.5,Wales
1999,23,18,26,Wales
2000,23,18,26,Wales
2001,22,20,25.75,Wales
2002,22.5,18.5,26,Wales
2003,22.5,21,25,Wales
2004,25,22,28.5,Wales
2005,24,20,30,Wales
2006,25,20.5,29.5,Wales
2007,22.5,19,28,Wales
2008,25,20,32,Wales
2009,25.5,24,34.5,Wales
2010,26,19.5,32.5,Wales
2011,28,23,34,Wales
2012,29,20.25,38,Wales
2013,28.5,26.75,34,Wales
2014,26.5,22,32.5,Wales
2015,30,28,35,Wales
2016,33,30,39,Wales
2017,31,27.5,38.75,Wales
2018,24,22,33,Wales
2019,36,27.5,44.75,Wales
1989,23.5,21.75,25.25,West Midlands
1991,24,18,27,West Midlands
1990,18.5,18,19.5,West Midlands
1992,20,18,22,West Midlands
1993,21,17.5,25.5,West Midlands
1994,22,19.25,24,West Midlands
1996,21,19,24.75,West Midlands
1995,21,17.75,25,West Midlands
1997,21.5,17.5,25.75,West Midlands
1998,21.5,18.75,25,West Midlands
1999,22,20,28,West Midlands
2000,23.5,21,27.75,West Midlands
2001,22,19,29.5,West Midlands
2002,21,19,27,West Midlands
2003,23,18,25,West Midlands
2004,25,20,29.5,West Midlands
2005,25,21.25,27,West Midlands
2006,25.5,22,28,West Midlands
2007,24,21,27,West Midlands
2008,26,23,33,West Midlands
2009,26,22,31,West Midlands
2010,24,21,29.75,West Midlands
2011,27,23,33.5,West Midlands
2012,28,24,32,West Midlands
2013,28.5,24,31.75,West Midlands
2014,28,23.5,30.5,West Midlands
2015,28,26,35,West Midlands
2016,33,28.5,41,West Midlands
2017,35,31,39,West Midlands
2018,36.5,32.5,47.5,West Midlands
2019,32.5,30,34.75,West Midlands
1987,24,24,24,Yorkshire & Humber
1990,21,21,21,Yorkshire & Humber
1988,19.5,17.5,20.5,Yorkshire & Humber
1989,20.5,19.25,21.75,Yorkshire & Humber
1991,19,17,25.5,Yorkshire & Humber
1992,19.5,19,20.25,Yorkshire & Humber
1993,25,25,25,Yorkshire & Humber
2000,26.5,21.25,33.5,Yorkshire & Humber
1998,23,23,23,Yorkshire & Humber
