yr,fit,lower,higher,tau,region,parameter
2012,30.4251882272415,30.0731961157469,30.7771803387362,0.25,Other,age
2013,31.1841204654345,30.7947742823994,31.5734666484697,0.25,Other,age
2014,31.9007072781199,31.4967538623934,32.3046606938464,0.25,Other,age
2015,32.5749486652976,32.1772956425838,32.9726016880115,0.25,Other,age
2016,33.2068446269677,32.816022235019,33.5976670189165,0.25,Other,age
2017,33.7963951631302,33.3719410883317,34.2208492379286,0.25,Other,age
2018,34.3436002737849,33.8047470542779,34.882453493292,0.25,Other,age
2019,34.8484599589321,34.1067312383538,35.5901886795104,0.25,Other,age
2020,35.3109742185716,34.2895979973471,36.3323504397961,0.25,Other,age
2008,31.3873298349684,30.7410734673358,32.0335862026011,0.5,Other,age
2009,32.3148528405201,31.8746897921087,32.7550158889316,0.5,Other,age
2010,33.1964407939766,32.8625543599774,33.5303272279759,0.5,Other,age
2011,34.0320936953379,33.7006153804999,34.3635720101759,0.5,Other,age
2012,34.821811544604,34.4453006298681,35.1983224593399,0.5,Other,age
2013,35.5655943417749,35.1487552033094,35.9824334802404,0.5,Other,age
2014,36.2634420868505,35.8318275193805,36.6950566543206,0.5,Other,age
2015,36.915354779831,36.498698477086,37.332011082576,0.5,Other,age
2016,37.5213324207163,37.1422213199021,37.9004435215304,0.5,Other,age
2017,38.0813750095063,37.7371383637427,38.4256116552699,0.5,Other,age
2018,38.5954825462011,38.2300157035273,38.960949388875,0.5,Other,age
2019,39.0636550308008,38.5754210582262,39.5518890033754,0.5,Other,age
2020,39.4858924633052,38.7815012704156,40.1902836561948,0.5,Other,age
2008,36.3668720054756,35.5774238563016,37.1563201546496,0.75,Other,age
2009,37.4123754411228,36.8827579923636,37.941992889882,0.75,Other,age
2010,38.3830324364204,37.9967848927775,38.7692799800634,0.75,Other,age
2011,39.2788429913686,38.9088610811186,39.6488249016186,0.75,Other,age
2012,40.0998071059672,39.6829593735097,40.5166548384247,0.75,Other,age
2013,40.8459247802163,40.3848707259693,41.3069788344633,0.75,Other,age
2014,41.5171960141159,41.0390131616003,41.9953788666314,0.75,Other,age
2015,42.1136208076659,41.6446216511824,42.5826199641495,0.75,Other,age
2016,42.6351991608665,42.1802293788746,43.0901689428584,0.75,Other,age
2017,43.0819310737175,42.5993529385189,43.5645092089161,0.75,Other,age
2018,43.453816546219,42.8510628783227,44.0565702141153,0.75,Other,age
2019,43.7508555783709,42.9222566543549,44.579454502387,0.75,Other,age
2020,43.9730481701734,42.8269459475731,45.1191503927737,0.75,Other,age
2008,27.4613278576319,27.0552632461878,27.8673924690761,0.25,Scotland,age
2009,28.3452429842575,28.0722761506494,28.6182098178656,0.25,Scotland,age
2010,29.199178644764,28.9993932531737,29.3989640363542,0.25,Scotland,age
2011,30.0231348391514,29.8327812043594,30.2134884739433,0.25,Scotland,age
2012,30.8171115674197,30.6050763399667,31.0291467948726,0.25,Scotland,age
2013,31.5811088295689,31.348889838171,31.8133278209667,0.25,Scotland,age
2014,32.315126625599,32.0757025988397,32.5545506523582,0.25,Scotland,age
2015,33.01916495551,32.7831696771664,33.2551602338535,0.25,Scotland,age
2016,33.6932238193019,33.4567357040874,33.9297119345164,0.25,Scotland,age
2017,34.3373032169747,34.0703487022496,34.6042577316998,0.25,Scotland,age
2018,34.9514031485284,34.60311974481,35.2996865522468,0.25,Scotland,age
2019,35.535523613963,35.0538797505413,36.0171674773848,0.25,Scotland,age
2020,36.0896646132786,35.4296657342377,36.7496634923194,0.25,Scotland,age
2008,32.1723542257424,31.7792977035068,32.565410747978,0.5,Scotland,age
