year,md,lower,upper,region,parameter
2012,35,29,41,England,age
2013,35,30,41,England,age
2014,36,31,42,England,age
2015,37,32,44,England,age
2016,38,33,44,England,age
2017,38,33,45,England,age
2018,39,34,45,England,age
2019,39,34,45,England,age
1989,24,24,24,East Midlands,age_init
1990,20.5,18.25,23.25,East Midlands,age_init
1991,26,26,26,East Midlands,age_init
1993,22.5,20,28,East Midlands,age_init
1994,22,19,25,East Midlands,age_init
1992,19,18.5,19.5,East Midlands,age_init
1995,22,19,27,East Midlands,age_init
1996,22,19,26,East Midlands,age_init
1997,22,17,25,East Midlands,age_init
1998,24,20,28,East Midlands,age_init
1999,23,20.5,29,East Midlands,age_init
2000,24,23,28,East Midlands,age_init
2001,21.5,18.25,25.75,East Midlands,age_init
2002,22.5,19.25,28.5,East Midlands,age_init
2003,23,20,26.5,East Midlands,age_init
2004,21,19,26,East Midlands,age_init
2005,23,19,26,East Midlands,age_init
2006,24,20.75,31,East Midlands,age_init
2007,25,19,32.5,East Midlands,age_init
2008,25.5,21,27.75,East Midlands,age_init
2009,22.5,19,23.25,East Midlands,age_init
2010,22,19,28,East Midlands,age_init
2011,27,22.25,35,East Midlands,age_init
2012,30,23.25,36.75,East Midlands,age_init
2013,29,23.75,38,East Midlands,age_init
2014,27.5,24.75,33.75,East Midlands,age_init
2015,26,25,35,East Midlands,age_init
2016,32.5,29.25,39.75,East Midlands,age_init
2017,33,26.5,39.25,East Midlands,age_init
2018,32,27.5,36,East Midlands,age_init
2019,30,30,34,East Midlands,age_init
1988,31,27.5,34.5,East of England,age_init
1987,23,22.5,23.5,East of England,age_init
1990,25,23,25.75,East of England,age_init
1989,23,21,24,East of England,age_init
1992,20.5,20,21.75,East of England,age_init
1991,20,20,20,East of England,age_init
1993,24,18,29,East of England,age_init
1995,20,17,27,East of England,age_init
1994,20.5,15.5,25.25,East of England,age_init
1996,24,21,27,East of England,age_init
1997,22,18,25.5,East of England,age_init
1998,22,19,27.25,East of England,age_init
1999,26,20,30,East of England,age_init
2000,21,18,26,East of England,age_init
2001,26,19.5,28,East of England,age_init
2002,24,20.25,28,East of England,age_init
2003,23.5,19.25,31.5,East of England,age_init
2004,23,19,30.5,East of England,age_init
2005,26,21.5,33.5,East of England,age_init
2006,26,20,30,East of England,age_init
2007,21,20,26.25,East of England,age_init
2008,24,19.5,25,East of England,age_init
2009,26,20.5,33,East of England,age_init
2010,26,22.5,35.5,East of England,age_init
2011,27,20.5,37,East of England,age_init
2012,28,23.75,33,East of England,age_init
2013,32,26.25,37.25,East of England,age_init
2014,28,26,34,East of England,age_init
2015,34,30,41,East of England,age_init
2016,31,27.5,34.5,East of England,age_init
2017,32.5,29.75,34.25,East of England,age_init
2018,29,27,33,East of England,age_init
2019,35,31,38.25,East of England,age_init
1990,25,21.5,28,London,age_init
1988,24.5,20,28,London,age_init
1987,22,20,24,London,age_init
1989,23.5,19,28,London,age_init
1991,26,21.5,28.5,London,age_init
1992,25,21,29,London,age_init
1993,25,21,29,London,age_init
1994,24.5,21,29,London,age_init
1995,26,22,30,London,age_init
1996,26,21,30,London,age_init
1997,25.5,21.75,28,London,age_init
1998,25,21,32,London,age_init
1999,27.5,23,33,London,age_init
2000,28,24,32,London,age_init
2001,27,24,32,London,age_init
2002,28,24,34.5,London,age_init
2003,28,24,34,London,age_init
2004,28.5,25,33,London,age_init
2005,30.5,25,35,London,age_init
2006,27,23,35,London,age_init
2007,28.5,21,34,London,age_init
2008,26,20.5,31,London,age_init
2009,33,28,37,London,age_init
2010,28,21,36,London,age_init
2011,33,28,36.5,London,age_init
2012,31,25,38.5,London,age_init
2013,35,28,38.5,London,age_init
2014,29,25,37,London,age_init
2015,34.5,26.25,38.5,London,age_init
2016,35.5,31.5,38,London,age_init
2017,38,31.5,40,London,age_init
2018,34,30,39,London,age_init
2019,36,34.5,37.5,London,age_init
1990,18,18,23,North East,age_init
1991,18,17,19,North East,age_init
1989,18,18,18,North East,age_init
1993,19,17,22,North East,age_init
1994,19,17,21.25,North East,age_init
1992,21,18.5,24.5,North East,age_init
1995,21,18,24,North East,age_init
1996,21,18,24,North East,age_init
1997,21,18,24,North East,age_init
1998,20,18,25,North East,age_init
1999,21,19,25,North East,age_init
2000,23,20,26,North East,age_init
2001,23,18,26,North East,age_init
2002,22,18,26,North East,age_init
2003,22,19,28,North East,age_init
2004,22,19,28.5,North East,age_init
2005,22,20,27,North East,age_init
2006,22,20,27,North East,age_init
2007,24,19,28,North East,age_init
2008,22,20,27,North East,age_init
2009,20,18,24.75,North East,age_init
2010,25,20,27,North East,age_init
2011,25,20,28.5,North East,age_init
2012,26,21,28,North East,age_init
2013,26.5,23,31.5,North East,age_init
2014,28,25.25,30.5,North East,age_init
2015,29,24,30,North East,age_init
2016,33,30,35,North East,age_init
