year,fit,lower,higher,tau,region,parameter
1994,18.4919786096257,18.1514996470844,18.832457572167,0.5,Yorkshire & Humber,age_init_whole_sample
1995,18.7780748663102,18.431841489947,19.1243082426733,0.5,Yorkshire & Humber,age_init_whole_sample
1996,19.0882352941177,18.7372119753988,19.4392586128366,0.5,Yorkshire & Humber,age_init_whole_sample
1997,19.4224598930482,19.0676744498957,19.7772453362006,0.5,Yorkshire & Humber,age_init_whole_sample
1998,19.7807486631016,19.4229134172849,20.1385839089183,0.5,Yorkshire & Humber,age_init_whole_sample
1999,20.1631016042781,19.8022483359642,20.5239548725921,0.5,Yorkshire & Humber,age_init_whole_sample
2000,20.5695187165776,20.2046453399221,20.9343920932331,0.5,Yorkshire & Humber,age_init_whole_sample
2001,21,20.6287500291742,21.3712499708258,0.5,Yorkshire & Humber,age_init_whole_sample
2002,21.4545454545455,21.0729696406774,21.8361212684136,0.5,Yorkshire & Humber,age_init_whole_sample
2003,21.9331550802139,21.5356232361208,22.3306869243071,0.5,Yorkshire & Humber,age_init_whole_sample
2004,22.4358288770054,22.0151456200008,22.85651213401,0.5,Yorkshire & Humber,age_init_whole_sample
2005,22.9625668449198,22.5102868022128,23.4148468876268,0.5,Yorkshire & Humber,age_init_whole_sample
2006,23.5133689839573,23.0202322272768,24.0065057406377,0.5,Yorkshire & Humber,age_init_whole_sample
2007,24.0882352941177,23.5446056156929,24.6318649725425,0.5,Yorkshire & Humber,age_init_whole_sample
2008,24.6871657754011,24.0833781867685,25.2909533640338,0.5,Yorkshire & Humber,age_init_whole_sample
2009,25.3101604278075,24.6367424196181,25.9835784359969,0.5,Yorkshire & Humber,age_init_whole_sample
2010,25.957219251337,25.204999368173,26.7094391345009,0.5,Yorkshire & Humber,age_init_whole_sample
2011,26.6283422459894,25.7884804288224,27.4682040631563,0.5,Yorkshire & Humber,age_init_whole_sample
2012,27.3235294117648,26.3875027362527,28.2595560872768,0.5,Yorkshire & Humber,age_init_whole_sample
2013,28.0427807486632,27.0023486861566,29.0832128111698,0.5,Yorkshire & Humber,age_init_whole_sample
2014,28.7860962566846,27.6332598499363,29.9389326634328,0.5,Yorkshire & Humber,age_init_whole_sample
2015,29.5534759358289,28.2804382685318,30.826513603126,0.5,Yorkshire & Humber,age_init_whole_sample
2016,30.3449197860963,28.9440508924997,31.745788679693,0.5,Yorkshire & Humber,age_init_whole_sample
2017,31.1604278074867,29.6242349085598,32.6966207064136,0.5,Yorkshire & Humber,age_init_whole_sample
2018,32.0000000000001,30.3211028799405,33.6788971200597,0.5,Yorkshire & Humber,age_init_whole_sample
2019,32.8636363636364,31.0347472715941,34.6925254556788,0.5,Yorkshire & Humber,age_init_whole_sample
1990,20.5851179673321,20.2071061949124,20.9631297397519,0.75,Yorkshire & Humber,age_init_whole_sample
1991,20.9179673321234,20.5180123191104,21.3179223451365,0.75,Yorkshire & Humber,age_init_whole_sample
1992,21.2776769509982,20.8598014952621,21.6955524067344,0.75,Yorkshire & Humber,age_init_whole_sample
1993,21.6642468239565,21.2325111506495,22.0959824972634,0.75,Yorkshire & Humber,age_init_whole_sample
1994,22.0776769509982,21.63583643606,22.5195174659365,0.75,Yorkshire & Humber,age_init_whole_sample
1995,22.5179673321234,22.0691576952725,22.9667769689744,0.75,Yorkshire & Humber,age_init_whole_sample
1996,22.9851179673322,22.531530610585,23.4387053240793,0.75,Yorkshire & Humber,age_init_whole_sample
1997,23.4791288566244,23.0216593007099,23.9365984125388,0.75,Yorkshire & Humber,age_init_whole_sample
1998,24,23.5378761414534,24.4621238585467,0.75,Yorkshire & Humber,age_init_whole_sample
1999,24.5477313974592,24.0781615418438,25.0173012530747,0.75,Yorkshire & Humber,age_init_whole_sample
2000,25.1223230490019,24.6402429465863,25.6044031514174,0.75,Yorkshire & Humber,age_init_whole_sample
2001,25.723774954628,25.2217971101608,26.2257527990951,0.75,Yorkshire & Humber,age_init_whole_sample
2002,26.3520871143376,25.8207293114821,26.8834449171931,0.75,Yorkshire & Humber,age_init_whole_sample
2003,27.0072595281307,26.4354383362426,27.5790807200188,0.75,Yorkshire & Humber,age_init_whole_sample
2004,27.6892921960073,27.0649577360868,28.3136266559278,0.75,Yorkshire & Humber,age_init_whole_sample
2005,28.3981851179674,27.7089272385656,29.0874429973692,0.75,Yorkshire & Humber,age_init_whole_sample
2006,29.1339382940109,28.3674411439006,29.9004354441213,0.75,Yorkshire & Humber,age_init_whole_sample
2007,29.896551724138,29.0408624825919,30.7522409656841,0.75,Yorkshire & Humber,age_init_whole_sample
2008,30.6860254083485,29.7296689326232,31.6423818840738,0.75,Yorkshire & Humber,age_init_whole_sample
2009,31.5023593466425,30.4343528064655,32.5703658868196,0.75,Yorkshire & Humber,age_init_whole_sample
2010,32.34555353902,31.1553684431859,33.5357386348542,0.75,Yorkshire & Humber,age_init_whole_sample
2011,33.215607985481,31.8931112216378,34.5381047493242,0.75,Yorkshire & Humber,age_init_whole_sample
