year,fit,lower,higher,tau,region
1998,9.75748792270528,9.48145597962098,10.0335198657896,0.5,London
1999,9.99999999999997,9.71608637841884,10.2839136215811,0.5,London
2000,10.263768115942,9.96429816930026,10.5632380625837,0.5,London
2001,10.5487922705314,10.2310426282793,10.8665419127835,0.5,London
2002,10.8550724637681,10.5196523262237,11.1904926013125,0.5,London
2003,11.1826086956522,10.8320856689328,11.5331317223715,0.5,London
2004,11.5314009661836,11.1693107482488,11.8934911841183,0.5,London
2005,11.9014492753623,11.5315743412245,12.2713242095001,0.5,London
2006,12.2927536231884,11.9185351179255,12.6669721284512,0.5,London
2007,12.7053140096618,12.329294401157,13.0813336181666,0.5,London
2008,13.1391304347826,12.7623635774779,13.5158972920873,0.5,London
2009,13.5942028985507,13.215619021142,13.9727867759594,0.5,London
2010,14.0705314009662,13.6863262580604,14.4547365438719,0.5,London
2011,14.568115942029,14.171342903314,14.964888980744,0.5,London
2012,15.0869565217391,14.6675638091113,15.5063492343669,0.5,London
2013,15.6270531400966,15.1724948748964,16.0816114052968,0.5,London
2014,16.1884057971015,15.6846599843894,16.6921516098135,0.5,London
2015,16.7710144927536,16.2036178950029,17.3384110905043,0.5,London
2016,17.3748792270531,16.7296615666556,18.0200968874507,0.5,London
2017,18,17.2634453459523,18.7365546540477,0.5,London
2018,18.6463768115942,17.8057113086531,19.4870423145354,0.5,London
2019,19.3140096618358,18.3571457759031,20.2708735477684,0.5,London
1990,12,11.1482486515013,12.8517513484986,0.75,London
1991,12.5,11.7734696893307,13.2265303106692,0.75,London
1992,13,12.3862494101452,13.6137505898547,0.75,London
1993,13.5,12.9852859857847,14.0147140142152,0.75,London
1994,14,13.5686855059546,14.4313144940453,0.75,London
1995,14.5,14.1339363947261,14.8660636052739,0.75,London
1996,15,14.6784515407026,15.3215484592973,0.75,London
1997,15.5,15.2011680079775,15.7988319920224,0.75,London
1998,16,15.7044262120236,16.2955737879763,0.75,London
1999,16.5,16.1937856630724,16.8062143369276,0.75,London
2000,17,16.6755950700157,17.3244049299843,0.75,London
2001,17.5,17.1549639911932,17.8450360088067,0.75,London
2002,18,17.6352849179868,18.3647150820131,0.75,London
2003,18.5,18.1185549437644,18.8814450562355,0.75,London
2004,19,18.6057873098997,19.3942126901002,0.75,London
2005,19.5,19.0972902433197,19.9027097566802,0.75,London
2006,20,19.5928059533024,20.4071940466975,0.75,London
2007,20.5,20.0915451507805,20.9084548492194,0.75,London
2008,21,20.5921513888759,21.407848611124,0.75,London
2009,21.5,21.0926345246113,21.9073654753886,0.75,London
2010,22,21.5903390608818,22.4096609391181,0.75,London
2011,22.5,22.0820536060933,22.9179463939067,0.75,London
2012,23,22.5643690647298,23.4356309352702,0.75,London
2013,23.5,23.034266316099,23.965733683901,0.75,London
2014,24,23.489682166591,24.5103178334089,0.75,London
2015,24.5,23.9297263165278,25.0702736834721,0.75,London
2016,25,24.3544740656563,25.6455259343436,0.75,London
2017,25.5,24.7645573985289,26.235442601471,0.75,London
2018,26,25.1608045932899,26.83919540671,0.75,London
2019,26.5,25.5440252657501,27.4559747342499,0.75,London
1990,-0.338947368421058,-1.2156411510721,0.537746414229989,0.25,North East
1991,-0.237894736842111,-0.983655887138951,0.50786641345473,0.25,North East
1992,-0.124912280701761,-0.749957812224109,0.500133250820587,0.25,North East
1993,-7.43849426498855e-15,-0.514785069255927,0.514785069255912,0.25,North East
1994,0.13684210526315,-0.278547129447178,0.552231339973477,0.25,North East
1995,0.285614035087711,-0.0419788419977882,0.613206912173209,0.25,North East
1996,0.446315789473674,0.193550901379089,0.699080677568259,0.25,North East
1997,0.618947368421042,0.425491290563421,0.812403446278664,0.25,North East
1998,0.803508771929813,0.649694270338439,0.957323273521186,0.25,North East
1999,0.999999999999987,0.862502359436197,1.13749764056378,0.25,North East
2000,1.20842105263157,1.06679412279343,1.3500479824697,0.25,North East
2001,1.42877192982455,1.27196710839991,1.58557675124918,0.25,North East
2002,1.66105263157893,1.48628521835944,1.83582004479842,0.25,North East
2003,1.90526315789472,1.71407348493209,2.09645283085735,0.25,North East
2004,2.16140350877191,1.9568964108332,2.36591060671063,0.25,North East
2005,2.42947368421051,2.21467896956269,2.64426839885833,0.25,North East
2006,2.70947368421051,2.48618746652013,2.93275990190088,0.25,North East
2007,3.00140350877191,2.76918872628647,3.23361829125735,0.25,North East
2008,3.30526315789472,3.06060708125558,3.54991923453385,0.25,North East
