yr,N,dur_int,n,pc
2013,1938,12,95,0.0490196078431373
2013,1938,13,106,0.0546955624355005
2013,1938,14,98,0.0505675954592363
2013,1938,15,95,0.0490196078431373
2013,1938,16,86,0.04437564499484
2013,1938,17,69,0.0356037151702786
2013,1938,18,67,0.0345717234262126
2013,1938,19,49,0.0252837977296182
2013,1938,20,41,0.021155830753354
2013,1938,21,35,0.0180598555211558
2013,1938,22,52,0.0268317853457172
2013,1938,23,31,0.0159958720330237
2013,1938,24,55,0.0283797729618163
2013,1938,25,34,0.0175438596491228
2013,1938,26,32,0.0165118679050568
2013,1938,27,24,0.0123839009287926
2013,1938,28,18,0.00928792569659443
2013,1938,29,25,0.0128998968008256
2013,1938,30,14,0.00722394220846233
2013,1938,31,15,0.00773993808049536
2013,1938,32,13,0.00670794633642931
2013,1938,33,6,0.00309597523219814
2013,1938,34,7,0.00361197110423117
2013,1938,35,1,0.000515995872033024
2013,1938,36,3,0.00154798761609907
2013,1938,37,1,0.000515995872033024
2013,1938,38,3,0.00154798761609907
2013,1938,39,1,0.000515995872033024
2013,1938,40,0,0
2014,42,0,2,0.0476190476190476
2014,42,1,5,0.119047619047619
2014,42,2,1,0.0238095238095238
2014,42,3,2,0.0476190476190476
2014,42,4,2,0.0476190476190476
2014,42,5,1,0.0238095238095238
2014,42,6,3,0.0714285714285714
2014,42,7,6,0.142857142857143
2014,42,8,1,0.0238095238095238
2014,42,9,2,0.0476190476190476
2014,42,10,4,0.0952380952380952
2014,42,11,3,0.0714285714285714
2014,42,12,2,0.0476190476190476
2014,42,13,0,0
2014,42,14,1,0.0238095238095238
2014,42,15,2,0.0476190476190476
2014,42,16,1,0.0238095238095238
2014,42,17,1,0.0238095238095238
2014,42,18,1,0.0238095238095238
2014,42,19,0,0
2014,42,20,0,0
2014,42,21,0,0
2014,42,22,0,0
2014,42,23,1,0.0238095238095238
2014,42,24,1,0.0238095238095238
2014,42,25,0,0
2014,42,26,0,0
2014,42,27,0,0
2014,42,28,0,0
2014,42,29,0,0
2014,42,30,0,0
2014,42,31,0,0
2014,42,32,0,0
2014,42,33,0,0
2014,42,34,0,0
2014,42,35,0,0
2014,42,36,0,0
2014,42,37,0,0
2014,42,38,0,0
2014,42,39,0,0
2014,42,40,0,0
2015,2065,0,26,0.012590799031477
2015,2065,1,53,0.0256658595641647
2015,2065,2,59,0.0285714285714286
2015,2065,3,67,0.0324455205811138
2015,2065,4,66,0.0319612590799031
2015,2065,5,70,0.0338983050847458
2015,2065,6,71,0.0343825665859564
2015,2065,7,76,0.0368038740920097
2015,2065,8,71,0.0343825665859564
2015,2065,9,89,0.0430992736077482
2015,2065,10,97,0.0469733656174334
2015,2065,11,78,0.037772397094431
2015,2065,12,103,0.0498789346246973
2015,2065,13,93,0.0450363196125908
2015,2065,14,104,0.050363196125908
2015,2065,15,103,0.0498789346246973
2015,2065,16,85,0.0411622276029056
2015,2065,17,90,0.0435835351089588
2015,2065,18,84,0.0406779661016949
2015,2065,19,90,0.0435835351089588
2015,2065,20,74,0.0358353510895884
2015,2065,21,61,0.0295399515738499
2015,2065,22,48,0.0232445520581114
2015,2065,23,45,0.0217917675544794
2015,2065,24,32,0.0154963680387409
2015,2065,25,31,0.0150121065375303
2015,2065,26,26,0.012590799031477
2015,2065,27,22,0.0106537530266344
2015,2065,28,26,0.012590799031477
2015,2065,29,12,0.00581113801452784
2015,2065,30,22,0.0106537530266344
2015,2065,31,18,0.00871670702179177
2015,2065,32,17,0.00823244552058111
2015,2065,33,11,0.00532687651331719
2015,2065,34,11,0.00532687651331719
2015,2065,35,14,0.00677966101694915
2015,2065,36,6,0.00290556900726392
2015,2065,37,6,0.00290556900726392
2015,2065,38,2,0.000968523002421307
2015,2065,39,2,0.000968523002421307
2015,2065,40,0,0
2016,180,0,0,0
2016,180,1,2,0.0111111111111111
2016,180,2,7,0.0388888888888889
2016,180,3,4,0.0222222222222222
2016,180,4,4,0.0222222222222222
2016,180,5,6,0.0333333333333333
2016,180,6,11,0.0611111111111111
2016,180,7,7,0.0388888888888889
2016,180,8,13,0.0722222222222222
2016,180,9,10,0.0555555555555556
2016,180,10,8,0.0444444444444444
2016,180,11,8,0.0444444444444444
2016,180,12,14,0.0777777777777778
2016,180,13,6,0.0333333333333333
2016,180,14,5,0.0277777777777778
2016,180,15,7,0.0388888888888889
2016,180,16,8,0.0444444444444444
2016,180,17,9,0.05
2016,180,18,6,0.0333333333333333
2016,180,19,14,0.0777777777777778
2016,180,20,7,0.0388888888888889
2016,180,21,8,0.0444444444444444
2016,180,22,6,0.0333333333333333
2016,180,23,4,0.0222222222222222
2016,180,24,0,0
2016,180,25,0,0
2016,180,26,0,0
2016,180,27,3,0.0166666666666667
2016,180,28,0,0
2016,180,29,1,0.00555555555555556
2016,180,30,1,0.00555555555555556
2016,180,31,0,0
2016,180,32,1,0.00555555555555556
2016,180,33,0,0
2016,180,34,0,0
2016,180,35,0,0
2016,180,36,0,0
2016,180,37,0,0
2016,180,38,0,0
2016,180,39,0,0
2016,180,40,0,0
2017,773,0,17,0.0219922380336352
2017,773,1,12,0.0155239327296248
2017,773,2,15,0.019404915912031
2017,773,3,16,0.0206985769728331
2017,773,4,12,0.0155239327296248
2017,773,5,12,0.0155239327296248
2017,773,6,15,0.019404915912031
2017,773,7,22,0.0284605433376455
2017,773,8,22,0.0284605433376455
2017,773,9,22,0.0284605433376455
2017,773,10,26,0.0336351875808538
2017,773,11,21,0.0271668822768435
2017,773,12,32,0.0413971539456662
2017,773,13,18,0.0232858990944373
2017,773,14,30,0.0388098318240621
2017,773,15,30,0.0388098318240621
2017,773,16,32,0.0413971539456662
2017,773,17,40,0.0517464424320828
2017,773,18,37,0.0478654592496766
2017,773,19,38,0.0491591203104787
2017,773,20,39,0.0504527813712807
2017,773,21,37,0.0478654592496766
2017,773,22,30,0.0388098318240621
2017,773,23,29,0.03751617076326
2017,773,24,13,0.0168175937904269
2017,773,25,25,0.0323415265200517
2017,773,26,22,0.0284605433376455
2017,773,27,10,0.0129366106080207
2017,773,28,15,0.019404915912031
2017,773,29,10,0.0129366106080207
2017,773,30,9,0.0116429495472186
2017,773,31,16,0.0206985769728331
2017,773,32,12,0.0155239327296248
2017,773,33,8,0.0103492884864166
