yr,year_init,pc
2009,2009,0.0107296137339056
2010,1970,0.00122249388753056
2010,1971,0.000407497962510187
2010,1972,0
2010,1973,0
2010,1974,0.000814995925020375
2010,1975,0.00122249388753056
2010,1976,0.00203748981255094
2010,1977,0.00162999185004075
2010,1978,0.00203748981255094
2010,1979,0.00244498777506113
2010,1980,0.00366748166259169
2010,1981,0.00529747351263244
2010,1982,0.00896495517522412
2010,1983,0.0118174409127954
2010,1984,0.00733496332518337
2010,1985,0.0175224123879381
2010,1986,0.0105949470252649
2010,1987,0.0114099429502852
2010,1988,0.0134474327628362
2010,1989,0.0146699266503667
2010,1990,0.0122249388753056
2010,1991,0.0183374083129584
2010,1992,0.0228198859005705
2010,1993,0.026079869600652
2010,1994,0.0383048084759576
2010,1995,0.0358598207008965
2010,1996,0.0452322738386308
2010,1997,0.0423797881010595
2010,1998,0.0574572127139364
2010,1999,0.0513447432762836
2010,2000,0.0525672371638142
2010,2001,0.052159739201304
2010,2002,0.0533822330888346
2010,2003,0.0448247758761206
2010,2004,0.0546047269763651
2010,2005,0.0427872860635697
2010,2006,0.0399348003259984
2010,2007,0.0460472697636512
2010,2008,0.0582722086389568
2010,2009,0.0611246943765281
2010,2010,0.0273023634881826
2011,1970,0.000578368999421631
2011,1971,0
2011,1972,0
2011,1973,0
2011,1974,0
2011,1975,0.00173510699826489
2011,1976,0.000578368999421631
2011,1977,0.00231347599768652
2011,1978,0.00173510699826489
2011,1979,0.00347021399652979
2011,1980,0.00289184499710816
2011,1981,0.00289184499710816
2011,1982,0.00578368999421631
2011,1983,0.0104106419895894
2011,1984,0.0092539039907461
2011,1985,0.010989010989011
2011,1986,0.00694042799305957
2011,1987,0.0092539039907461
2011,1988,0.0161943319838057
2011,1989,0.0138808559861191
2011,1990,0.0208212839791787
2011,1991,0.021978021978022
2011,1992,0.0231347599768652
2011,1993,0.0283400809716599
2011,1994,0.0283400809716599
2011,1995,0.0364372469635628
2011,1996,0.0433776749566223
2011,1997,0.0462695199537305
2011,1998,0.0636205899363794
2011,1999,0.059572006940428
2011,2000,0.0520532099479468
2011,2001,0.0543666859456333
2011,2002,0.0347021399652979
2011,2003,0.0514748409485252
2011,2004,0.0416425679583574
2011,2005,0.0456911509543089
2011,2006,0.0503181029496819
2011,2007,0.0451127819548872
2011,2008,0.0416425679583574
2011,2009,0.0514748409485252
2011,2010,0.0323886639676113
2011,2011,0.0283400809716599
2012,1970,0
2012,1971,0
2012,1972,0
2012,1973,0
2012,1974,0
2012,1975,0
2012,1976,0
2012,1977,0
2012,1978,0
2012,1979,0
2012,1980,0
2012,1981,0
2012,1982,0
2012,1983,0
2012,1984,0.0327868852459016
2012,1985,0
2012,1986,0
2012,1987,0
2012,1988,0
2012,1989,0.0163934426229508
2012,1990,0
2012,1991,0.0327868852459016
2012,1992,0
2012,1993,0.0163934426229508
2012,1994,0.0327868852459016
2012,1995,0.0983606557377049
2012,1996,0
2012,1997,0.114754098360656
2012,1998,0.0491803278688525
2012,1999,0.0819672131147541
2012,2000,0.0819672131147541
2012,2001,0.0327868852459016
2012,2002,0.0491803278688525
2012,2003,0
2012,2004,0.0327868852459016
2012,2005,0.0819672131147541
2012,2006,0.0655737704918033
2012,2007,0
2012,2008,0.0327868852459016
2012,2009,0.0327868852459016
2012,2010,0.0819672131147541
2012,2011,0.0327868852459016
2012,2012,0
2013,1970,0.000515995872033024
2013,1971,0
