year,injdurI,pc
1996,3,0.0799703813402444
1996,4,0.0640503517215846
1996,5,0.0670122176971492
1996,6,0.0540540540540541
1996,7,0.0481303221029249
1996,8,0.0425768233987412
1996,9,0.0440577563865235
1996,10,0.0496112550907071
1996,11,0.0396149574231766
1996,12,0.0377637911884487
1996,13,0.034061458718993
1996,14,0.0381340244353943
1996,15,0.024435394298408
1996,16,0.0207330618289522
1996,17,0.0214735283228434
1996,18,0.0151795631247686
1996,19,0.0118474639022584
1996,20,0.0111069974083673
1996,21,0.00851536467974824
1996,22,0.0107367641614217
1996,23,0.00851536467974824
1996,24,0.00888559792669382
1996,25,0.00740466493891151
1996,26,0.00777489818585709
1996,27,0.00555349870418364
1996,28,0.00259163272861903
1996,29,0.00222139948167345
1996,30,0.00481303221029248
1996,31,0.0014809329877823
1996,32,0.00185116623472788
1996,33,0.00111069974083673
1996,34,0
1996,35,0.000370233246945576
1996,36,0
1996,37,0
1996,38,0
1996,39,0
1996,40,0
1997,0,0.0788107597923549
1997,1,0.0986314299197735
1997,2,0.097215667767815
1997,3,0.0660689004247286
1997,4,0.0651250589900897
1997,5,0.0571024067956583
1997,6,0.049079754601227
1997,7,0.0476639924492685
1997,8,0.0443605474280321
1997,9,0.0415290231241151
1997,10,0.0401132609721567
1997,11,0.0410571024067957
1997,12,0.0330344502123643
1997,13,0.0330344502123643
1997,14,0.0311467673430864
1997,15,0.0268994808872109
1997,16,0.0264275601698915
1997,17,0.0174610665408211
1997,18,0.0160453043888627
1997,19,0.00613496932515337
1997,20,0.0132137800849457
1997,21,0.00802265219443134
1997,22,0.00802265219443134
1997,23,0.00849457291175083
1997,24,0.00755073147711185
1997,25,0.00424728645587541
1997,26,0.00566304860783388
1997,27,0.00896649362907032
1997,28,0.00566304860783388
1997,29,0.00141576215195847
1997,30,0.00377536573855592
1997,31,0.00283152430391694
1997,32,0.00047192071731949
1997,33,0.00188768286927796
1997,34,0.00141576215195847
1997,35,0.00047192071731949
1997,36,0.00047192071731949
1997,37,0
1997,38,0
1997,39,0
1997,40,0
1998,0,0.0772372818418121
1998,1,0.0898626067582622
1998,2,0.0946899368733754
1998,3,0.0776086149275901
1998,4,0.0601559598960267
1998,5,0.0642406238395841
1998,6,0.0493873004084664
1998,7,0.0445599702933531
1998,8,0.0427033048644634
1998,9,0.0360193093204605
1998,10,0.0397326401782399
1998,11,0.0278499814333457
1998,12,0.0315633122911251
1998,13,0.0315633122911251
1998,14,0.0308206461195693
1998,15,0.0304493130337913
1998,16,0.0278499814333457
1998,17,0.0271073152617898
1998,18,0.0155959896026736
1998,19,0.0111399925733383
1998,20,0.0107686594875603
1998,21,0.0155959896026736
1998,22,0.00928332714444857
1998,23,0.00631266245822503
1998,24,0.00854066097289269
1998,25,0.00742666171555886
1998,26,0.00891199405867063
1998,27,0.00631266245822503
1998,28,0.00334199777200149
1998,29,0.00297066468622354
1998,30,0.0025993316004456
1998,31,0.00371333085777943
1998,32,0.00111399925733383
1998,33,0.00111399925733383
1998,34,0
1998,35,0
1998,36,0.000371333085777943
1998,37,0.000371333085777943
1998,38,0.000371333085777943
1998,39,0
1998,40,0.000371333085777943
1999,0,0.0737342847434591
1999,1,0.0937818552497452
1999,2,0.0971797485558953
1999,3,0.0798504926945294
1999,4,0.0659191301393136
1999,5,0.0567448182127081
1999,6,0.0482500849473327
1999,7,0.0509683995922528
1999,8,0.0434930343187224
1999,9,0.0404349303431872
1999,10,0.037037037037037
1999,11,0.0336391437308868
1999,12,0.0336391437308868
1999,13,0.0285423037716616
1999,14,0.0271831464492015
1999,15,0.0282025144410466
1999,16,0.0220863064899762
1999,17,0.0278627251104315
1999,18,0.0163098878695209
1999,19,0.0159700985389059
1999,20,0.0101936799184506
1999,21,0.0091743119266055
1999,22,0.00713557594291539
1999,23,0.0105334692490656
1999,24,0.0054366292898403
1999,25,0.00611620795107034
1999,26,0.00407747196738023
1999,27,0.00441726129799524
1999,28,0.00441726129799524
1999,29,0.00271831464492015
1999,30,0.00305810397553517
1999,31,0.00305810397553517
1999,32,0.00305810397553517
1999,33,0.00203873598369011
1999,34,0.00169894665307509
1999,35,0.000679578661230038
1999,36,0.000339789330615019
1999,37,0.000339789330615019
1999,38,0
1999,39,0
1999,40,0
2000,0,0.0816550714024167
2000,1,0.0941047235444892
2000,2,0.0988648846576346
2000,3,0.0801904064445258
2000,4,0.0692054192603442
2000,5,0.0585865983156353
2000,6,0.047235444891981
2000,7,0.0468692786525082
2000,8,0.0391797876235811
2000,9,0.0399121201025265
2000,10,0.0454046136946174
2000,11,0.0300256316367631
2000,12,0.0303917978762358
2000,13,0.0281948004393995
2000,14,0.0278286341999268
2000,15,0.0230684730867814
2000,16,0.0245331380446723
2000,17,0.0230684730867814
2000,18,0.0172098132552179
2000,19,0.0142804833394361
2000,20,0.0161113145367997
2000,21,0.0102526547052362
2000,22,0.00915415598681802
2000,23,0.00659099231050897
2000,24,0.00768949102892713
2000,25,0.00549249359209081
