yr,dur_int,pc
2013,19,0.0252837977296182
2013,20,0.021155830753354
2013,21,0.0180598555211558
2013,22,0.0268317853457172
2013,23,0.0159958720330237
2013,24,0.0283797729618163
2013,25,0.0175438596491228
2013,26,0.0165118679050568
2013,27,0.0123839009287926
2013,28,0.00928792569659443
2013,29,0.0128998968008256
2013,30,0.00722394220846233
2013,31,0.00773993808049536
2013,32,0.00670794633642931
2013,33,0.00309597523219814
2013,34,0.00361197110423117
2013,35,0.000515995872033024
2013,36,0.00154798761609907
2013,37,0.000515995872033024
2013,38,0.00154798761609907
2013,39,0.000515995872033024
2013,40,0
2014,0,0.0476190476190476
2014,1,0.119047619047619
2014,2,0.0238095238095238
2014,3,0.0476190476190476
2014,4,0.0476190476190476
2014,5,0.0238095238095238
2014,6,0.0714285714285714
2014,7,0.142857142857143
2014,8,0.0238095238095238
2014,9,0.0476190476190476
2014,10,0.0952380952380952
2014,11,0.0714285714285714
2014,12,0.0476190476190476
2014,13,0
2014,14,0.0238095238095238
2014,15,0.0476190476190476
2014,16,0.0238095238095238
2014,17,0.0238095238095238
2014,18,0.0238095238095238
2014,19,0
2014,20,0
2014,21,0
2014,22,0
2014,23,0.0238095238095238
2014,24,0.0238095238095238
2014,25,0
2014,26,0
2014,27,0
2014,28,0
2014,29,0
2014,30,0
2014,31,0
2014,32,0
2014,33,0
2014,34,0
2014,35,0
2014,36,0
2014,37,0
2014,38,0
2014,39,0
2014,40,0
2015,0,0.012590799031477
2015,1,0.0256658595641647
2015,2,0.0285714285714286
2015,3,0.0324455205811138
2015,4,0.0319612590799031
2015,5,0.0338983050847458
2015,6,0.0343825665859564
2015,7,0.0368038740920097
2015,8,0.0343825665859564
2015,9,0.0430992736077482
2015,10,0.0469733656174334
2015,11,0.037772397094431
2015,12,0.0498789346246973
2015,13,0.0450363196125908
2015,14,0.050363196125908
2015,15,0.0498789346246973
2015,16,0.0411622276029056
2015,17,0.0435835351089588
2015,18,0.0406779661016949
2015,19,0.0435835351089588
2015,20,0.0358353510895884
2015,21,0.0295399515738499
2015,22,0.0232445520581114
2015,23,0.0217917675544794
2015,24,0.0154963680387409
2015,25,0.0150121065375303
2015,26,0.012590799031477
2015,27,0.0106537530266344
2015,28,0.012590799031477
2015,29,0.00581113801452784
2015,30,0.0106537530266344
2015,31,0.00871670702179177
2015,32,0.00823244552058111
2015,33,0.00532687651331719
2015,34,0.00532687651331719
2015,35,0.00677966101694915
2015,36,0.00290556900726392
2015,37,0.00290556900726392
2015,38,0.000968523002421307
2015,39,0.000968523002421307
2015,40,0
2016,0,0
2016,1,0.0111111111111111
2016,2,0.0388888888888889
2016,3,0.0222222222222222
2016,4,0.0222222222222222
2016,5,0.0333333333333333
2016,6,0.0611111111111111
2016,7,0.0388888888888889
2016,8,0.0722222222222222
2016,9,0.0555555555555556
2016,10,0.0444444444444444
2016,11,0.0444444444444444
2016,12,0.0777777777777778
2016,13,0.0333333333333333
2016,14,0.0277777777777778
2016,15,0.0388888888888889
2016,16,0.0444444444444444
2016,17,0.05
2016,18,0.0333333333333333
2016,19,0.0777777777777778
2016,20,0.0388888888888889
2016,21,0.0444444444444444
2016,22,0.0333333333333333
2016,23,0.0222222222222222
2016,24,0
2016,25,0
2016,26,0
2016,27,0.0166666666666667
2016,28,0
2016,29,0.00555555555555556
2016,30,0.00555555555555556
2016,31,0
2016,32,0.00555555555555556
2016,33,0
2016,34,0
2016,35,0
2016,36,0
2016,37,0
2016,38,0
2016,39,0
2016,40,0
2017,0,0.0219922380336352
2017,1,0.0155239327296248
2017,2,0.019404915912031
2017,3,0.0206985769728331
2017,4,0.0155239327296248
2017,5,0.0155239327296248
2017,6,0.019404915912031
2017,7,0.0284605433376455
2017,8,0.0284605433376455
2017,9,0.0284605433376455
2017,10,0.0336351875808538
2017,11,0.0271668822768435
2017,12,0.0413971539456662
2017,13,0.0232858990944373
2017,14,0.0388098318240621
2017,15,0.0388098318240621
2017,16,0.0413971539456662
2017,17,0.0517464424320828
2017,18,0.0478654592496766
2017,19,0.0491591203104787
2017,20,0.0504527813712807
2017,21,0.0478654592496766
2017,22,0.0388098318240621
2017,23,0.03751617076326
2017,24,0.0168175937904269
2017,25,0.0323415265200517
2017,26,0.0284605433376455
2017,27,0.0129366106080207
2017,28,0.019404915912031
2017,29,0.0129366106080207
2017,30,0.0116429495472186
2017,31,0.0206985769728331
2017,32,0.0155239327296248
2017,33,0.0103492884864166
2017,34,0.00646830530401035
2017,35,0.0116429495472186
2017,36,0.00646830530401035
2017,37,0.00517464424320828
2017,38,0.00517464424320828
2017,39,0
2017,40,0
2018,0,0.0165061898211829
2018,1,0.031636863823934
2018,2,0.0343878954607978
2018,3,0.0302613480055021
2018,4,0.0247592847317744
2018,5,0.0302613480055021
2018,6,0.0330123796423659
2018,7,0.0288858321870702
2018,8,0.0233837689133425
2018,9,0.0247592847317744
2018,10,0.0440165061898212
2018,11,0.031636863823934
2018,12,0.0357634112792297
2018,13,0.0426409903713893
2018,14,0.0371389270976616
2018,15,0.0453920220082531
2018,16,0.0646492434662999
2018,17,0.0508940852819807
2018,18,0.0481430536451169
2018,19,0.0508940852819807
2018,20,0.0357634112792297
2018,21,0.0412654745529574
2018,22,0.0357634112792297
2018,23,0.0426409903713893
2018,24,0.0233837689133425
2018,25,0.0137551581843191
2018,26,0.0178817056396149
2018,27,0.00962861072902338
2018,28,0.00962861072902338
2018,29,0.00687757909215956
2018,30,0.00687757909215956
2018,31,0.00412654745529574
2018,32,0.00687757909215956
2018,33,0.00550206327372765
2018,34,0.00137551581843191
2018,35,0.00275103163686382
2018,36,0.00550206327372765
2018,37,0.00137551581843191
2018,38,0
2018,39,0
2018,40,0
2019,0,0.030327868852459
2019,1,0.0204918032786885
2019,2,0.0221311475409836
2019,3,0.0270491803278689
2019,4,0.0270491803278689
2019,5,0.019672131147541
2019,6,0.0237704918032787
2019,7,0.0213114754098361
2019,8,0.0270491803278689
2019,9,0.0327868852459016
2019,10,0.0319672131147541
2019,11,0.0336065573770492
2019,12,0.039344262295082
2019,13,0.0352459016393443
2019,14,0.0385245901639344
2019,15,0.0278688524590164
2019,16,0.0311475409836066
2019,17,0.0360655737704918
2019,18,0.0377049180327869
2019,19,0.0508196721311475
2019,20,0.0442622950819672
2019,21,0.0508196721311475
2019,22,0.0344262295081967
2019,23,0.039344262295082
2019,24,0.0360655737704918
2019,25,0.0286885245901639
2019,26,0.0237704918032787
2019,27,0.0254098360655738
2019,28,0.0155737704918033
2019,29,0.0114754098360656
2019,30,0.00737704918032787
2019,31,0.00655737704918033
2019,32,0.00655737704918033
2019,33,0.0163934426229508
2019,34,0.00655737704918033
2019,35,0.00409836065573771
2019,36,0.0122950819672131
2019,37,0.00655737704918033
2019,38,0.00409836065573771
2019,39,0
2019,40,0.00163934426229508
